Date,TeamA,TeamB,TossWinner,Decision
2026-01-01,SA,NZ,SA,Field
2026-01-02,Pakistan,SA,Australia,Bat
2026-01-03,NZ,India,NZ,Field
2026-01-04,Australia,NZ,SA,Bat
2026-01-05,Pakistan,Pakistan,Pakistan,Field
2026-01-06,England,WI,Australia,Field
2026-01-07,Australia,SL,NZ,Field
2026-01-08,SL,India,India,Field
2026-01-09,SA,NZ,NZ,Bat
2026-01-10,England,SA,Australia,Bat
2026-01-11,Pakistan,WI,NZ,Field
2026-01-12,India,England,England,Field
2026-01-13,WI,England,NZ,Field
2026-01-14,England,SL,NZ,Field
2026-01-15,WI,SL,India,Bat
2026-01-16,Pakistan,WI,SA,Bat
2026-01-17,SL,SL,England,Field
2026-01-18,Australia,WI,Pakistan,Field
2026-01-19,WI,SA,Pakistan,Field
2026-01-20,WI,Australia,NZ,Bat
2026-01-21,Australia,NZ,Australia,Bat
2026-01-22,NZ,Australia,SL,Field
2026-01-23,Australia,England,India,Field
2026-01-24,NZ,Australia,Pakistan,Field
2026-01-25,SA,WI,Australia,Field
2026-01-26,SL,Pakistan,WI,Field
2026-01-27,Australia,Pakistan,Australia,Field
2026-01-28,Pakistan,England,WI,Bat
2026-01-29,England,SA,SL,Field
2026-01-30,SL,India,Australia,Field
