Draw_Date,N1,N2,N3,N4,N5,N6
2026-01-01,27,44,14,47,30,20
2026-01-02,40,29,35,40,35,44
2026-01-03,6,22,15,27,30,13
2026-01-04,32,47,13,11,42,36
2026-01-05,7,26,12,16,39,14
2026-01-06,49,11,27,19,45,15
2026-01-07,10,26,39,14,14,31
2026-01-08,21,11,46,34,35,45
2026-01-09,49,45,46,45,15,6
2026-01-10,5,35,8,22,10,8
2026-01-11,38,36,40,37,5,35
2026-01-12,42,46,38,32,18,40
2026-01-13,22,1,24,11,26,1
2026-01-14,34,18,41,2,40,17
2026-01-15,23,26,4,8,8,43
2026-01-16,7,49,15,42,31,31
2026-01-17,40,14,23,17,11,31
2026-01-18,11,26,40,36,24,42
2026-01-19,10,46,14,9,42,21
2026-01-20,6,42,20,2,29,25
2026-01-21,43,3,46,48,6,40
2026-01-22,41,49,29,4,6,31
2026-01-23,32,30,1,44,42,18
2026-01-24,9,12,25,43,10,10
2026-01-25,21,5,49,37,33,6
2026-01-26,18,7,4,25,14,22
2026-01-27,2,12,1,44,12,31
2026-01-28,16,26,16,22,26,15
2026-01-29,20,28,27,24,36,35
2026-01-30,17,29,22,7,32,29
