Date,SolarRadiation_kWhm2
2026-01-01,3.11
2026-01-02,6.56
2026-01-03,6.24
2026-01-04,7.03
2026-01-05,4.19
2026-01-06,4.65
2026-01-07,7.56
2026-01-08,7.93
2026-01-09,3.52
2026-01-10,4.27
2026-01-11,7.48
2026-01-12,6.47
2026-01-13,7.2
2026-01-14,7.7
2026-01-15,7.25
2026-01-16,6.27
2026-01-17,5.6
2026-01-18,7.96
2026-01-19,7.39
2026-01-20,7.69
2026-01-21,3.85
2026-01-22,3.14
2026-01-23,5.32
2026-01-24,4.18
2026-01-25,5.06
2026-01-26,3.36
2026-01-27,7.16
2026-01-28,6.33
2026-01-29,6.2
2026-01-30,3.48
